topic,summary of points,"what facts, if any?","what anecdotes, if any?",anecdote quote,original transcript
They are talking about the fact that they are from Mississippi and they are a small business owner.,They are a small business owner from Mississippi.,The facts are that they are from Mississippi and they are a small business owner.,They do not support their point with anecdotes.,N/A," good morning. i'm sorry i wasn't here last night. blame it on houston. my name is gary. i'm from walz, mississippi, which is about five miles south of memphis, tennessee. i'm a small business owner and when i got the invitation i thought, wow, this would be a chance to hear somebody else's opinion and to give mine, so that's why i'm here."
talking,wants everyone to talk up,no,no,no, can i say one more thing? yeah. everybody would talk up a little bit. i'm a little hard to hear.
,"The person's points are that wealthy people are not paying their fair share in taxes, and that something needs to be done to close loopholes that allow them to do this.","The facts are that wealthy people have accountants who help them manipulate their taxes, and that there are loopholes in the system that need to be closed. The anecdote is about a person who owns a small business and has to listen to his accountant tell him how to get around paying taxes.","The claims made are that wealthy people are not paying their fair share in taxes, and that there are loopholes in the system that need to be closed.","The premises relied on are that wealthy people have accountants who help them manipulate their taxes, and that there are loopholes in the system that need to be closed."," i'll start off. should the us impose a wealth tax on the rest of your tax-payers? they already do, but where the situation comes in at is these wealthy taxpayers have all these accountants that can manipulate the books so that they don't have to pay any taxes. so they are in fact not paying their fair share in most instances. i think there needs to be something done about the various loopholes and things like that the tax people have open out there. i don't know the exact words for it, but are they accountants? yeah. cause being in a small business, i filed my taxes every year and i sit in that office in there and i listened to him saying, well, if we did this, you could get this and do that. it's kind of manipulated how everything goes and all of that needs to stop. if the, if the wealthy people paid their share of taxes appropriately, right, that would help considerably. but in a statement that it says here, the tax would affect a limited number of people, well yet it would, but my concern about this is social welfare programs and things like that. i see a lot of people come into my shop riding brand new motorcycles and say, oh yeah, i'm disabled. well you're disabled, then what are you doing riding a motorcycle? right? and they don't work. i would rather see where the taxes get this deficit down. that's where i think our main issue is if we get that deficit down right, then other things are going to fall into place."
not provided,They are talking about the possibility of people being able to accurately report their income to the IRS,not provided,not provided,not provided," that's a good possibility. if they would be able to put down accurately what they actually did make that year, you know,ap"
The topic is wages.,They think that it is good to have wages.,The facts are that wages are good.,They do not support their point with anecdotes.,N/A," if you got wages,ap"
The topic is the farm tax.,"The person's points are that the tax will make it hard for farmers to pay for their equipment, and that they may have to sell part of their farm.","The facts are that the tax will make it hard for farmers to pay for their equipment, and that they may have to sell part of their farm.",There are no anecdotes.,There are no quotes.," but the farmer who owns a 300 acre farm and is out there farming it every single day and that farm is worth so many millions of dollars, but yet he's struggling to pay off his tractor and things like that. you put an additional tax on him, he'll have to sell off part of his farm to be able to pay those additional taxes or that additional 2%."
The topic is an estate tax.,The person's points are that the wealthy should be taxed more because they can afford it and it would help to distribute wealth more evenly.,The facts are that American wealth is no higher than it was in the 1980s and that many wealthy people are in favor of wealth distribution.,The anecdote is about a gardener who would benefit from the estate tax.,"""I'm already increase your expenses and decrease your overall government."""," i do. interesting to note that american wealth overall, it,aos no higher than it was in the 1980s. that's 40 years ago. wealth has not grown. i see nothing. i don't know what the current state tax is, but i'm all in favor of an estate tax. if you've made that kind of money, i have nothing wrong with taxing that amount of money. i don't know what the number should be 11 million, 22 million for a couple, but tax the dilemma that people are leaving beyond. i i've heard on the, television, many of the wealthiest people in this country are all in favor of wealth distribution. this is one way of getting wealth distribution. thomas robinhood kind of way. you're taking from the rich and giving it to the poor. but i see nothing wrong with that. if we as a nation that are going to, look upon everybody else as a human being and, we have adopted programs that tried to do that or come up with even new programs, you need a way to pay for it, and this certainly is the decent way to pay for it. i'm not saying raise it so high that, the wealthy can't live, but you certainly can live off of that and still provide a very nice source of income, for the gardener either. like you say, either we have to increase our income, we have to decrease our expenses. get away, you can increase your income and decrease. i'm already increase your expenses and decrease your overall government."
The topic is the wealth tax.,"The person believes that the wealth tax is a good way to contribute to tax income, and that none of us will ever have to pay an estate tax.","The facts are that the wealth tax is a good way to contribute to tax income, and that none of us will ever have to pay an estate tax.",There are no anecdotes.,There are no quotes.," not an income and it's a way through the estate itself to actually determine what that wealth tax or wealth amount is. i think, this is a good way to, contribute to our tax income. and realistically none of us will ever pay an estate tax"
Money,They think people should be able to spend their money however they want.,N/A,N/A,N/A, they should be allowed to do whatever they want with the money
The topic the person is talking about is giving away wealth.,"The person's points are that people like Warren Buffet and Bill Gates are doing wonderful things by giving away their wealth, and that the children of wealthy people are not hurt by their parents' wealth.","The facts are that Warren Buffet and Bill Gates have promised to give away their wealth, and that the Mars family is doing well.",The anecdote is about the Mars family.,The person quotes the anecdote about the Mars family.," we have people like that. warren buffet and bill gates promised to give away their wealth or they die. they're doing wonderful things with their money. 99% of their wealth he's giving to the bill gates foundation when he dies. you had people like the mars family, the walton family. those children, i don't think are hurt any. got nelson to grow great brands, none of them."
The topic the person is talking about is government spending.,"The person's points are that government officials should spend money more wisely, and that the wealth should go to the American people.","The facts are that government officials should spend money more wisely, and that the wealth should go to the American people.",The anecdote is that the person has talked to many different people about this issue.,"The person quotes the anecdote by saying ""we've talked earlier."""," it should cause the government spending, but the elected officials, they should like spend it better, more wisely. we've talked earlier, they been in so many different basketball rooms and none of that, but that comes out of taxpayer's money. the government officials, they need to put it somewhere secure where really it would go to the american people instead of really do wealth. cause it seems like the wealth gets more."
