topic,summary of points,"what facts, if any?","what anecdotes, if any?",anecdote quote,original transcript
The topic is not stated.,Nancy thinks that it is important to have people from every state with different points of view so that people can talk to each other instead of just hearing jargon on the television.,N/A,N/A,N/A," hi my name's nancy and i'm from northern california and i really am excited about this. i think that you need, as i said last night, people from every state and even with different points of view you could talk to instead of just throw jargons at us or hear on the television. this is one way to do it. the other point of view, that's it. i think this is exciting."
The topic they are talking about is their wealth.,They think that their wealth is much greater than their salary is in many cases.,The facts are that their wealth is much greater than their salary is in many cases.,They do not support their point with anecdotes.,N/A, their wealth is much greater than their salary is in many cases.
The topic they are talking about is taxes.,They think that the wealthy should pay more taxes on their income from other sources.,"The anecdote is about a wealthy person who only pays taxes on their wages, not their income from other sources.",,"""It's not just the wages, it's also income off other things, you know."""," well it was. but even on income tax, what you make is not just ,ai if you're wealthy ,ai it's not just the wages, it's also income off other things ,ai injust things, you know."
The topic the person is talking about is taxes.,The person's points are that the wealthy have complex incomes and that taxing them is not as simple as just taking their earnings.,The facts are that the wealthy have complex incomes and that taxing them is not as simple as just taking their earnings.,There are no anecdotes.,There are no quotes.," when you're talking about the 1%, that's the wealthiest, the complexity of their income is amazing. i mean, they have all types of incomes that are taxed separately. in some cases, for example, the capital gains tax that people want it just to add to your income. if you're a retired person and you have an income that in part is from your capital gains, that's much more important to you than it is to john rockefeller. i mean to tax that income on a retired person, it's a penalty. to tax it on a wealthy person that is not the same. it's not as simple as just what's your earnings and for that reason, the wealthier you are, the harder it is to accurately tax income."
They are talking about taxation.,They think that it is a good idea to have different types of income taxed differently.,"The facts are that there are different types of income, and they are taxed differently.",They do not support their point with anecdotes.,N/A," which part of it is what kind of income, which is another, and they're taxed differently for a reason."
The topic the person is talking about is Elizabeth Warren's proposal to tax people with high incomes.,The person's points are that the proposal could raise a lot of money and that it wouldn't affect retired people.,The facts are that the proposal would tax people with high incomes and that retired people wouldn't be affected.,There are no anecdotes.,There are no quotes.," what,aos does everyone think about the 2 cents on the dollar over 2 million that elizabeth warren has proposed? rather than talk about taxes per se, you simply say if your income is, and she said too many ways, you could say it's 20 million. if there's a point over which you pay that 2% on every dollar, the amount of money that would be garnered from the top pay your income in the world in the country would be enormous. and that doesn't affect people like retired people. so it's an interesting approach."
The topic is an idea.,"The person's points are that the idea is interesting, and that it does not affect most people.",The facts are that the person has a lot of money and pays 2 cents on the dollar.,There are no anecdotes.,N/A," she's talking that income profit. in other words, not the money that he has offset ,ai the net ,ai not the gross. it's not wealth but income. so some million whatever you decide, then you're not doing to him what you're saying. you're just saying you have an awful lot of money. you pay 2 cents on the dollar because you have an incredible amount of money. for most of us, and that doesn't affect the rest as far as texas go, i don't know,ap i think she has an interesting idea."
,They think that working the system is a mistake because someone else is working the system and making more money.,The anecdote is about someone making more money than the person.,They do not quote the anecdote.,The claim is that working the system is a mistake.," well you are saying working the system, but someone is working the system that gets them 10 million. when you're working the system, that's your mistake."
The topic they are talking about is the government's responsibility to its citizens.,"The person's points are that the government is responsible for taking care of its citizens, especially those who are disadvantaged, and that the current system is failing to do so. They also argue that education is key to solving this problem.",The facts they mention are that there are many people who are impoverished and that the government is not doing enough to help them.,The anecdote is about the speaker's personal experience with poverty and abuse.,"""I get really upset when I see people that say they shouldn't have these things cause they're on welfare. This is what I hate. It's what I want. Do I have to eat one bread? Just because, what I am poor? It doesn't make sense to me."""," sure you talked about the moral compass. i don't know that we've ever had one. i think that moral compass for us a nation is that we are extremely money oriented. go do it, i made it, i'm the best. society,ap we always been that way. we had churches who have done things that umm,ap when you say government, what is a government? why should it be government? you're the government. it isn't like there's the churches and there's the government. we,aore the government, if somebody is starving hungry, the child has no food, i'm responsible; i'm the government. when you say steak, how many of you who are meeting here has ever had a steak? i have. how many of you ever wanted something that everybody else said that you couldn't have? you can't be impoverished and watch television and see what people have and not be angry and hurt and upset and not know why it's not that way for you. our educational system has failed us. i'm an educator, our educational system has failed us. we have not taught the humanities along with information. we don't educate a moral code. we don't say, look, a human being is a human being. i don't care who it is. they have the same value. unless we educate people that way, we're going to starve hungry people and we're going to say, well you don't deserve to have that because you're not good. i get really upset when i see people that say they shouldn't have these things cause they're on welfare. this is what i hate. it's what i want. do i have to eat one bread? just because, what i am poor? it doesn't make sense to me. we have to treat human beings equally and to do that, the government, which is us, has to make it possible to educate people well enough that they have a chance and when they're educated like she is and they fall into hard times, they're treated as with respect as a human being who's fallen into hard times. half of the people walking the streets in san francisco who are drug addicts and all are suffering from ptsd because they served in the military or they were abused. i was abused as a child. it doesn't offer a lot of things to you. it can destroy your life. and i was lucky. i had some people who love me and helped me get through it as a child and an adult. if i hadn't, i'd be one of those people walk in the streets. i just think we've lost sight of the human being as a baby. you take a look at an infant, it's four to then you look at a man, 50 years old, walk in the streets, did drunk or stoned or whatever, how to get there? it wasn't by choice. no infant starts out and decides they want to be down and out. what are we as other people watching that baby? oh, we owed them."
The topic is the minimum wage.,"The person's points are that the cost of living varies in different states and cities, so a national minimum wage might not be practical.",The facts are that the cost of living varies in different states and cities.,There are no anecdotes.,There are no quotes.," it should depend on different states, because there are different levels of cost of living in different places. in california for $7 in california you don't work, but in mississippi it,aos a wage. so that's gotta be considered the state basis or even cities cause some cities probably have their own as well. it would be very difficult just to say."
