order,author,summary,pros,text
4,Will,"1. This is a great opportunity to get together and discuss the issues facing our nation.
2. This is a great opportunity to talk to the presidential candidates and see where they stand.
3. This is a great opportunity to get together and discuss the issues facing our nation.
4. We should implement a wealth tax on rich people is okay
5. We should implement a wealth tax on rich people is bad","

1. C) Not applicable to the given proposal. Reason: This argument is about the opportunity to discuss the issues facing our nation, not about the proposal itself.
2. C) Not applicable to the given proposal. Reason: This argument is about the opportunity to talk to the presidential candidates, not about the proposal itself.
3. C) Not applicable to the given proposal. Reason: This argument is about the opportunity to discuss the issues facing our nation, not about the proposal itself.
4. A) Pro. Reason: This argument is in favor of implementing a wealth tax on rich people.
5. B) Con. Reason: This argument is against implementing a wealth tax on rich people."," oh, why you came or what you thought when you were invited? like i said yesterday. this could be a father daughter situation where she says, this is all a scam and they are out to take your money and you never give away your information. i,aod be very pleased to go back home and say, told you so. dad could do that kind of stuff. i think it's great opportunity to get together at this critical time in our nation's history where we have a lot of issues you could see by this book. i'm sure some of you have read it all or at least glanced at it. there's a lot of issues that need to be discussed. many of them might have a significant and we need for the presidential candidates that are, gives us an opportunity as well to talk to some of them on a one basis and see where they stand. so it should be exciting. i really am looking forward to the weekend"
6,Nancy,"1. The speaker believes that people from every state should be represented in the conversation, rather than just hearing from people with different points of view.
2. The speaker thinks that this is an exciting way to learn about different points of view.
3. We should implement a wealth tax on rich people is okay
4. We should implement a wealth tax on rich people is bad
5. We should implement a wealth tax on rich people is the best thing ever","

1. C) Not applicable to the given proposal. Reason: The argument is about how the conversation should be conducted, not about the proposal itself.
2. C) Not applicable to the given proposal. Reason: The argument is about how the conversation should be conducted, not about the proposal itself.
3. A) Pro. Reason: The argument is in favor of implementing a wealth tax on rich people.
4. B) Con. Reason: The argument is against implementing a wealth tax on rich people.
5. C) Not applicable to the given proposal. Reason: The argument is too extreme and does not provide any reasoning for why implementing a wealth tax on rich people is the best thing ever."," hi my name's nancy and i'm from northern california and i really am excited about this. i think that you need, as i said last night, people from every state and even with different points of view you could talk to instead of just throw jargons at us or hear on the television. this is one way to do it. the other point of view, that's it. i think this is exciting."
8,Mike,"1. The speaker is interested in an objective way of looking at the issues.
2. The speaker is from out of state.
3. The speaker is interested in the future for his kids.
4. We should implement a wealth tax on rich people is okay
5. We should implement a wealth tax on rich people is bad","

1. C) Not applicable to the given proposal. Reason: The speaker's interest in looking at the issue objectively does not have a bearing on whether or not a wealth tax should be implemented.
2. C) Not applicable to the given proposal. Reason: The speaker's state of residence does not have a bearing on whether or not a wealth tax should be implemented.
3. C) Not applicable to the given proposal. Reason: The speaker's interest in the future for his kids does not have a bearing on whether or not a wealth tax should be implemented.
4. A) Pro. Reason: The proposal is to implement a wealth tax on rich people.
5. B) Con. Reason: The proposal is to implement a wealth tax on rich people."," my name is mike. i,aom from penns (? could not be sure what he said), out of the state of michigan. and i,aom here because it looks like a very unbiased or objective way of looking at the issues. watching today's news, it,aos like that network you listen to. i'm very interested in the future for my kids."
13,John (Very inaudible so the transcription is not accurate),"1. The speaker is interested in what has happened in the world since they left school.
2. The speaker has been involved in politics online for a couple of years.
3. We should implement a wealth tax on rich people is okay
4. We should implement a wealth tax on rich people is bad
5. We should implement a wealth tax on rich people is the best thing ever","

1. C) Not applicable to the given proposal. Reason: The speaker's personal experiences are not relevant to the proposal.
2. C) Not applicable to the given proposal. Reason: The speaker's personal experiences are not relevant to the proposal.
3. A) Pro. Reason: The speaker is in favor of the proposal.
4. B) Con. Reason: The speaker is against the proposal.
5. C) Not applicable to the given proposal. Reason: The speaker's personal experiences are not relevant to the proposal."," hey i,aom john. i,aom from a small town in vermont. i was interested in school in seeing what,aos going on, what has happened to us. i got out of school eight years ago, and probably two years ago, i,aove been a bit part of politics online, watching it at least anyway."
15,Erick,"1. The speaker is from Dana Point, Southern California.
2. The speaker is skeptical of the device.
3. The speaker believes that the device has the potential to return civility to the political process.
4. We should implement a wealth tax on rich people is okay
5. We should implement a wealth tax on rich people is bad","

1. C) Not applicable to the given proposal. The speaker's location is not relevant to the proposal.
2. B) Con. The speaker is skeptical of the device, which means they are likely against it.
3. A) Pro. The speaker believes that the device has the potential to return civility to the political process, which is a positive outcome.
4. A) Pro. The speaker believes that we should implement a wealth tax on rich people, which is the proposal.
5. B) Con. The speaker believes that we should not implement a wealth tax on rich people, which is the opposite of the proposal."," my name is erick. i'm from dana point, southern california. i was also skeptical when i got the thing and i looked at it. it checked out and i thought it would be an opportunity to, see maybe a return to civility the old days when people from both sides of the hall could discuss issues, go to lunch together and not see things as a personal upfront when someone disagrees with you. so i'm looking forward to that."
23,Angela,"1. The speaker's argument is that they are here to facilitate the conversation, and that the participants should talk to each other.
2. We should implement a wealth tax on rich people is okay
3. We should implement a wealth tax on rich people is bad
4. We should implement a wealth tax on rich people is the best thing ever
5. We should implement a wealth tax on rich people is the worst thing ever","

1. C) Not applicable to the given proposal. Reason: The speaker is not making an argument for or against the proposal.
2. A) Pro. Reason: The speaker is arguing that the wealth tax is a good idea.
3. B) Con. Reason: The speaker is arguing that the wealth tax is a bad idea.
4. A) Pro. Reason: The speaker is arguing that the wealth tax is a good idea.
5. B) Con. Reason: The speaker is arguing that the wealth tax is a bad idea."," great. like you all said, we're here to just have a discussion, not like or anything. i'm really here just to facilitate the conversation, but you are here to talk to each other so you don't need to look at me. if i'm like looking at my phone or like ruffling through my papers and comments, i'm still listening. i just need to make sure we're on time and that i am keeping track of you all. yeah,ap so let's get started."
26,Gary,"1. The speaker's arguments are that the wealthy should pay their fair share in taxes, that the tax system is manipulated in favor of the wealthy, and that reducing the deficit is the most important priority.
2. We should implement a wealth tax on rich people is okay
3. We should implement a wealth tax on rich people is bad
4. We should implement a wealth tax on rich people is the best thing ever
5. We should implement a wealth tax on rich people is the worst thing ever","

1. A) Pro 
2. C) Not applicable 
3. B) Con 
4. C) Not applicable 
5. C) Not applicable"," i'll start off. should the us impose a wealth tax on the rest of your tax-payers? they already do, but where the situation comes in at is these wealthy taxpayers have all these accountants that can manipulate the books so that they don't have to pay any taxes. so they are in fact not paying their fair share in most instances. i think there needs to be something done about the various loopholes and things like that the tax people have open out there. i don't know the exact words for it, but are they accountants? yeah. cause being in a small business, i filed my taxes every year and i sit in that office in there and i listened to him saying, well, if we did this, you could get this and do that. it's kind of manipulated how everything goes and all of that needs to stop. if the, if the wealthy people paid their share of taxes appropriately, right, that would help considerably. but in a statement that it says here, the tax would affect a limited number of people, well yet it would, but my concern about this is social welfare programs and things like that. i see a lot of people come into my shop riding brand new motorcycles and say, oh yeah, i'm disabled. well you're disabled, then what are you doing riding a motorcycle? right? and they don't work. i would rather see where the taxes get this deficit down. that's where i think our main issue is if we get that deficit down right, then other things are going to fall into place."
27,Will,"1. A revised, simplified tax form would be beneficial.
2. The current tax code is needlessly complicated.
3. Some provisions in the tax code are outdated.
4. The richest people should pay their fair share.
5. We should implement a wealth tax on rich people is okay",".

1. C- This is not applicable to the given proposal because it does not mention anything about a revised, simplified tax form.
2. A- This is a pro because a simpler tax code would make it easier for people to file their taxes.
3. B- This is a con because it would mean that the tax code would have to be changed, which could be difficult to do.
4. A- This is a pro because it is fair for the people who have more money to pay more in taxes.
5. B- This is a con because it would mean that the rich people would have to pay more in taxes."," would a revised tax form, a simplified tax form, right. i wasn't, i do income taxes part time, so i know exactly what you're saying. we should have an one-page form on which is the amount of money you made, times your tax rate equals what you own, and period. get rid of everything else. you had to see some of the provisions in the tax code. i mean, some forms are saying as of july 23rd, 2003 from this point forward, you're going to have to start paying taxes on this item. you know, it's crazy. i'm not saying you don't need the particular type of paper. i just thought they may not be necessarily what we need, but,ap the idea is to prevent some of these loopholes. get ride of them, and perhaps and the richest people would pay their fair share."
31,Will,"1. The speaker argues that the CEOs of companies are paid too much money.
2. The speaker argues that the CEOs of companies should be paid based on their performance.
3. The speaker argues that the CEOs of companies should be paid based on the company's profits.
4. We should implement a wealth tax on rich people is okay
5. We should implement a wealth tax on rich people is bad","

1. C) Not applicable to the given proposal. The argument is about how CEOs are paid, not about implementing a wealth tax.
2. C) Not applicable to the given proposal. The argument is about how CEOs are paid, not about implementing a wealth tax.
3. C) Not applicable to the given proposal. The argument is about how CEOs are paid, not about implementing a wealth tax.
4. A) Pro. The argument is in favor of implementing a wealth tax.
5. B) Con. The argument is against implementing a wealth tax."," yeah, well they had wages or a ceo of a company. they are be to paid several hundred thousand dollars or millions of dollars a year,ap"
32,Nancy,"1. The speaker argues that the wealthy have a much greater wealth than their salary.
2. The speaker argues that in many cases, the wealthy have a greater wealth than their salary.
3. We should implement a wealth tax on rich people is okay
4. We should implement a wealth tax on rich people is bad
5. We should implement a wealth tax on rich people is the best thing ever","

1. C- Not applicable to the given proposal. The proposal is to implement a wealth tax, not to tax people based on their salary.
2. A- This is a pro argument. The speaker is saying that in many cases, the wealthy have a greater wealth than their salary, which is why a wealth tax would be effective.
3. B- This is a con argument. The speaker is saying that implementing a wealth tax on rich people is bad.
4. A- This is a pro argument. The speaker is saying that implementing a wealth tax on rich people is the best thing ever.",their wealth is much greater than their salary is in many cases.
