topic,summary of points,"what facts, if any?","what anecdotes, if any?",anecdote quote,original transcript
,They think it's a good thing.,The facts are that they're back and from Bosoco Isles.,They don't quote the anecdote.,The claims they make are that they're back and from Bosoco Isles.," today i,aod be sad to see my name. i,aom back to be will from bosoco isles (not sure about the name),ap"
The topic the person is talking about is the event.,"The person's points are that the event is a good opportunity to get together and discuss important issues, and that it should be exciting.",The facts are that the event is a good opportunity to get together and discuss important issues.,The person does not support their points with anecdotes.,N/A," oh, why you came or what you thought when you were invited? like i said yesterday. this could be a father daughter situation where she says, this is all a scam and they are out to take your money and you never give away your information. i,aod be very pleased to go back home and say, told you so. dad could do that kind of stuff. i think it's great opportunity to get together at this critical time in our nation's history where we have a lot of issues you could see by this book. i'm sure some of you have read it all or at least glanced at it. there's a lot of issues that need to be discussed. many of them might have a significant and we need for the presidential candidates that are, gives us an opportunity as well to talk to some of them on a one basis and see where they stand. so it should be exciting. i really am looking forward to the weekend"
The topic is taxes.,The person's points are that the current tax system is too complicated and that the rich should pay their fair share.,The facts are that the current tax system is too complicated and that the rich should pay their fair share.,The anecdotes are that the current tax system is too complicated and that the rich should pay their fair share.,The person quotes the anecdote that the current tax system is too complicated and that the rich should pay their fair share.," would a revised tax form, a simplified tax form, right. i wasn't, i do income taxes part time, so i know exactly what you're saying. we should have an one-page form on which is the amount of money you made, times your tax rate equals what you own, and period. get rid of everything else. you had to see some of the provisions in the tax code. i mean, some forms are saying as of july 23rd, 2003 from this point forward, you're going to have to start paying taxes on this item. you know, it's crazy. i'm not saying you don't need the particular type of paper. i just thought they may not be necessarily what we need, but,ap the idea is to prevent some of these loopholes. get ride of them, and perhaps and the richest people would pay their fair share."
"The topic is that everybody, including wealthy people, should receive a W2 at the end of the year.","They think that everybody, including wealthy people, should receive a W2 at the end of the year.",The facts are that everybody receives a W2 at the end of the year.,They do not support their point with anecdotes.,N/A," that should be easy enough. doesn't everybody receive a w2 at the end of the year, including, these wealthy people?"
The topic they are talking about is the CEO's wage.,They think that the CEO should be paid a high wage.,The facts are that the CEO is paid a high wage.,They do not support their point with anecdotes.,N/A," yeah, well they had wages or a ceo of a company. they are be to paid several hundred thousand dollars or millions of dollars a year,ap"
They are talking about the wealth tax.,They think that imposing a wealth tax is not totally fair.,The facts are that imposing a wealth tax is not totally fair.,They do not support their point with anecdotes.,N/A," well true. we're not totally, are we imposing a text? oh, they're talking about a wealth tax"
The topic is not clear.,They do not state any clear points.,N/A,N/A,N/A," well that should be, again, easy enough to, track,ap"
The topic they are talking about is taxes.,They think it is difficult to tax wealth.,The facts are that it is difficult to tax wealth.,They do not support their point with anecdotes.,N/A, yeah. it's very difficult to tax wealth. dry (?) a dollar amount that says this is what i made last year.
,The person's points are that there may be a way to tighten up the laws to prevent the thing from happening.,The anecdote is that the person's daughter works in the program and knows people who are violating the statutes.,The claims made are that the program has people violating the statutes and that there may be a way to tighten up the laws.,The premises relied on are the personal experiences of the person and their daughter.," i'm sure that's true. like would have bought a, there are, i know steer that my daughter works in. if there are people violating the, statutes or regulations of that particular program, why can't they be, reporting perhaps is the word i'm thinking about, and say, hey, you can't drive around in numerous cities and buy these big fancy steaks and stuff like that. if they're doing that, they're, maybe i don't see him,ap there's a way to tighten up the laws, to, prevent that thing from happening."
,"The person's points are that they are not sure if the United States has lost their moral compass, but they think it is possible.",The facts are that the United States has made some decisions that could be seen as immoral.,"The claims the person makes are that the United States may have lost their moral compass, and that some of their actions could be seen as immoral.",The premises they rely on are the facts that they provide about the United States' actions., has the united states lost their moral compass?
They are talking about the tax.,They think it's important to read the fact that the tax only applies to what's above 11.4 million. It won't trigger a tax on all poor people when you cross it.,The facts are that the tax only applies to what's above 11.4 million.,They do not support their point with anecdotes.,N/A," i think it's important to read this as the fact that they only tax what's above the 11.4 million. it doesn't trigger a tax on all poor people when you cross it. i don't think when you're taxed what's above 11.4 minute, it'll put you in the poverty"
The topic is the corporate tax.,The person's points are that they do not understand how the corporate tax works and they are asking for somebody to explain it to them.,There are no facts given.,There are no anecdotes given.,There are no quotes given.," there anybody that understands how the corporate tax works? what is it that this tax, when you tax a corporation,"
The topic is corporate taxes.,They do not have any points.,N/A,N/A,N/A," yeah i mean the presumably the ceos pay personal taxes. workers are paying personal taxes. where is the corporate tax? what are you taxing? i personally, i have no idea how that works."
