topic,summary of points,"what facts, if any?","what anecdotes, if any?",anecdote quote,original transcript
no topic,cannot summarize points,no,no,no,There? I don't know. Okay.
no,they do not state a clear opinion,no,no,no,If you've counted them? I can't differ with you. I don't know the answer. Okay.
N/A,They do not provide any points.,N/A,N/A,N/A,I don't know.
The topic is Purdue Pharma.,"The person's points are that Purdue Pharma is responsible for the opioid crisis, and that the company is unethical.","The facts are that Purdue Pharma is responsible for the opioid crisis, and that the company is unethical.",There are no anecdotes.,There are no quotes.,Purdue Pharma.
N/A,They do not have any points.,N/A,N/A,N/A,Not to my knowledge.
The topic they are talking about is making money.,They think it is a good idea because it is a way to make money.,The facts are that it is a way to make money.,They do not support their point with anecdotes.,N/A,"I sit on the board of an, a consulting firm, which consults to Munda Pharma."
The topic is Mundi Pharma.,The person's points are that Mundi Pharma is a name attached to many different companies and that it is similar to Purdue.,The facts are that Mundi Pharma is a name attached to many different companies and that it is similar to Purdue.,There are no anecdotes.,There are no quotes.,"Mundi Pharma is, is a name that is attached to many different companies, such as just similar to Purdue."
The topic is the Munda Pharma company.,The person's points are that the company exists and is located in Germany.,The facts are that the company exists and is located in Germany.,There are no anecdotes.,There are no quotes.,There is a Munda Pharma company in Germany.
It is not clear what topic they are talking about.,They do not support their points with facts or anecdotes.,N/A,N/A,N/A,No.
It is not clear what topic they are talking about.,They do not support their points with facts or anecdotes.,N/A,N/A,N/A,Never
The topic they are talking about is whether or not the thing is worth it.,They think it is a waste of time and money.,The facts are that it is a waste of time and money.,They do not support their points with anecdotes.,N/A,No. All
Oxycon,They want more information before forming an opinion.,N/A,N/A,N/A,I Oxycon. Could you specify the geography
moving,they have never counted the number of times they have moved,none,none,none,Many. Okay. I've never counted them.
It is not clear what topic they are talking about.,They do not support their points with facts or anecdotes.,N/A,N/A,N/A,No.
The topic is that many people like it.,They think it is a good thing.,The facts are that many people like it.,They do not support their point with anecdotes.,N/A,Many.
N/A,They think that not all of the people are good.,N/A,N/A,N/A,"A few of them, but not all of them."
It is unclear what topic they are talking about.,They do not state any clear points.,N/A,N/A,N/A,I'm not sure.
The topic is ownership of a trust.,The person's points are that they are undecided and that the topic is owned by two trusts.,The facts are that the person is undecided and that the topic is owned by two trusts.,There are no anecdotes.,There are no quotes.,"I am not. I, it is owned by two trusts"
It is unclear what topic the person is talking about.,The person does not state any points.,N/A,N/A,N/A,Not that I'm aware.
The topic is not stated.,The person's points are that the topic is good.,The facts are that the topic is good.,N/A,N/A,"That does,"
no clear topic,does not state a clear opinion,no,no,no,"If that's what it says, then that's what it says. Okay."
The topic is not stated.,They don't state any specific points.,N/A,N/A,N/A,Should I answer? Go ahead.
The topic is not stated.,They do not state any points.,N/A,N/A,N/A,It depends on the time.
The topic is OxyContin.,They point out that they were involved in the areas of OxyContin and that it ended in early 2003.,The facts are that they were involved in the areas of OxyContin and that it ended in early 2003.,There are no anecdotes.,There are no quotes.,"Because I was involved in the areas, um, is, um, at a supervisory level, not as an active level for a period of time, that began with the launching of OxyContin and ended in early 2003,"
N/A,They do not provide any points.,N/A,N/A,N/A,It varied enormously
The topic is support for a topic.,The person's points are that the topic is good and that they support it.,The facts are that the topic is good and that they support it.,The anecdote is that the person supports the topic.,"Yes, the person supports the topic.",Yes.
The topic is not stated.,The person's points are that it would be convenient but they don't trust the technology.,There are no facts given to support the points.,The anecdote is about not trusting the technology.,"""What if it doesn't work the way it's supposed to?""",I
The topic they are talking about is her work history.,They think she is a good general manager.,"The facts are that she was general manager of Munda Pharma, Australia.",They do not support their point with anecdotes.,N/A,"She was general manager of Munda Pharma, Australia."
They are talking about the controlled release of a product.,They point out that it was controlled release and that it was successful.,The facts are that it was controlled release and that it was successful.,They do not support their point with anecdotes.,N/A,It was controlled release
The topic is majority of use.,They think that the majority of use does not accurately convey a picture.,N/A,N/A,N/A,"Majority of use, yes, but not. I, I don't think primarily conveys an accurate picture."
The vaccine,They are happy with the results,They don't mention any facts,They talk about how they personally know people who have gotten the vaccine and how it has helped them.,No,Was for over 50%
The topic is support for a topic.,The person's points are that the topic is good and that they support it.,The facts are that the topic is good and that they support it.,The anecdote is that the person supports the topic.,"Yes, the person supports the topic.",Yes.
N/A,They have no points.,N/A,N/A,N/A,May I amend that?
The topic is the use of the product.,The person's points are that the product is not effective and that it is not safe.,The facts are that the product is not effective and that it is not safe.,There are no anecdotes.,There are no quotes.,It didn't prevent doctors from prescribing it across the board. It was an inhibition to the use of the product in every application.
It is unclear what topic they are talking about.,They have not stated any points.,N/A,N/A,N/A,I'm not a student of that literature. All
